ArabicWord,EnglishMeaning,Link,,
??????,"Blink , Wink , Eye , Glance , edge , Border , Region",link to dictionary,,
??????,"Knock , Hammer , Come by Night , Tread , Follow road , Manner , Mode , Procedure , Contemplation",link to dictionary,,
??????,"Fresh , Soft , Moist , Tender , High Quality",link to dictionary,,
??????,"Eat , Taste , Meal , Vaccine , Restaurant",link to dictionary,,
?????,"Exceed Proper Bounds, Rage , Flood , Tyrannical , Prevail , Violent",link to dictionary,,
??????,"Stab, Pierce, Defame, Plage, Attack, Abuse",link to dictionary,,
???????,"Go Out , Extinguish , Turn Off",link to dictionary,,
???????,"Go Out , Extinguish , Turn Off",link to dictionary,,
??,"Deficient , Small , Slight , Deficient , Stingy",link to dictionary,,
??????,"To Begin , Suddenly to do something",link to dictionary,,
?????,"Infant , Baby , Child , Parasite",link to dictionary,,
??????,"Look , Seek , Claim , Ask , Beg , Request , Student , Desire , Demand",link to dictionary,,
?????,"Emerge, Rise, Appear",link to dictionary,,
??????,"Bad , Evil , Wicked , Banana, A Variety of Acacia",link to dictionary,,
??????,"Rise , Emerge , Appear , Ascend , Reader , Study , Exam",link to dictionary,,
??????,"Divorced , Free , Unrestrained , Leanne , Depart , Start Moving , Utter words against",link to dictionary,,
????????,"Mind at Rest , Calm , Tranquility , Feel Assured",link to dictionary,,
?????,"Flood , Engulf , Large Quantity , Sea , Great Riches ,",link to dictionary,,
??????,"Mensurate, Deflower, Touch",link to dictionary,,
??????,"Erase , Destroyed , Extinct , Obscure",link to dictionary,,
??????,"Erase , Destroyed , Extinct , Obscure",link to dictionary,,
??????,"Desire , Covet , Aspire , Hope",link to dictionary,,
??????,"Clean , Pure , Chaste , Virtuous , Purge",link to dictionary,,
?????,"Obedient , Voluntary , Obey",link to dictionary,,
?????,"Phase , Condition , Limit , Period , Develop , Advance , Evolve , Theory of Evolution",link to dictionary,,
?????,"High Mountain , Soar up in the air",link to dictionary,,
?????,"Wander , Make rounds among people , Circumambulate of Kaaba , Round , Circle",link to dictionary,,
?????,"Endure , Ability , Power , Necklace , Collar , Ring like",link to dictionary,,
?????,"Long , Last Long Time , Taller , Power , Length",link to dictionary,,
?????,"Roll Up , Close , Secret , Bury Past , Hunger , Intention , Conscience",link to dictionary,,
?????,"Roll Up , Close , Secret , Bury Past , Hunger , Intention , Conscience",link to dictionary,,
?????,"Good , Pleasant , Delicious , Perfume",link to dictionary,,
?????,"Fly , Carry Away , Bird , Evil Omen , Scatter",link to dictionary,,
?????,"Fly , Carry Away , Bird , Evil Omen , Scatter",link to dictionary,,
?????,"Clay , Soil , Mud , Basis",link to dictionary,,
??????,"Move Away , Depart, Journey",link to dictionary,,
??????,"Possess , gain , Conquer , Gain , Successful , Finger nail",link to dictionary,,
?????,"Continue , Shadow , Shelter , Protection",link to dictionary,,
??????,"Back, Top, Appear , Emerge , Climb , Triumph , Learn , Visible , Clear , Evident , Afternoon ,",link to dictionary,,
??????,"Appear , Emerge , Climb , Triumph , Learn , Visible , Clear , Evident , Afternoon ,",link to dictionary,,
??????,"Wrong , Injustice , Oppressed , Darkness. Gloom , Atlantic , Black out",link to dictionary,,
?????,"Think , Suppose , Opinion , Belief , Suspect , Doubtful , Unreliable",link to dictionary,,
???????,"Thirst , Thirsty",link to dictionary,,
??????,"Mix , Play , Joke , Scorn , Offend , Tease",link to dictionary,,
??????,"Cross , Pass away , Shed Tears , , Warning , Lesson , Word , Sentence",link to dictionary,,
??????,"Serve , Worship , Slave , Believers",link to dictionary,,
??????,"Not care , Unimportant , Arrange , Load",link to dictionary,,
??????,"Frown , Scull , Stern",link to dictionary,,
??????????,"Ingenious Person , Genius",link to dictionary,,
??????,"Blame , Censure , Step",link to dictionary,,
?????,"Insolent , Arrogance , Haughty , Violent",link to dictionary,,
??????,"Strong , Progeny , Stupid",link to dictionary,,
??????,"Carry , Porter",link to dictionary,,
??????,"Ready , Prepare , Ammunition",link to dictionary,,
??????,"Age , Mature , Emancipated , Old , Ancient",link to dictionary,,
??????,"Stumble , Trip , Discover",link to dictionary,,
????,"Act Wickedly , Cause Mischief",link to dictionary,,
??????,"Wonder , Surprise , Strange , Admiration , Conceited",link to dictionary,,
????,"Moth , Moth Eaton",link to dictionary,,
?????????,"Slender , Lean",link to dictionary,,
??????,"Hurry , Quick , Expedition , Haste",link to dictionary,,
??????,"Weak , Unable , Old Age , Old Woman, Miracle, Stump of a Tree, Impossible",link to dictionary,,
?????,"Count , Calculate , Number",link to dictionary,,
??????,"Try to test , Foreigner",link to dictionary,,
??????,"Justice , Fairness , Equal , Honesty , Deviate",link to dictionary,,
?????,"Exceed, Enemy , Hostile , Infect , Pass",link to dictionary,,
?????,"Eden , Paradise , Mineral , Mine",link to dictionary,,
??????,"Sweet , Fresh Water , pain , Suffering , Torture , Punishment",link to dictionary,,
??????,"Excuse , Forgive , Plea , Virgin",link to dictionary,,
?????,"Arab , Bedouin , Express, Declare, carriage",link to dictionary,,
?????,"Shame , Disgrace",link to dictionary,,
??????,"Ascend , Mount , Lame , Curve , Twist",link to dictionary,,
??????,"Erect , Throne , Shaft",link to dictionary,,
??????,"Erect , Throne , Shaft",link to dictionary,,
??????,"Wide , Broad , Appear , Visible , Submit , Review , Demand , Latitudinal Degree, Resist, Oppose",link to dictionary,,
??????,"Know , Recognize , Approve , Grateful , Perfume , Identity , Information , Notice",link to dictionary,,
?????,"Befall , Seize , Possession , Strong Bond",link to dictionary,,
?????,"Violent , Huge , Enormous , Stack",link to dictionary,,
??????,"Bare , Outdoors",link to dictionary,,
??????,"Far , Distant , Escape , Unmarried",link to dictionary,,
?????,"Power , Glory , Honor , Fame , Strong , Strength , Proud",link to dictionary,,
?????,"Ascribe , Attribute , Charge , Consolation , Condolence , Sympathy",link to dictionary,,
??????,"Remove , Isolate , Separate , Withdraw",link to dictionary,,
??????,"Decide , Resolve , Determine , Invite",link to dictionary,,
??????,"Decide , Resolve , Determine , Invite",link to dictionary,,
?????,"Possible , Perhaps , What it might be",link to dictionary,,
??????,"Difficult , Hard , Poverty",link to dictionary,,
????????,Darken,link to dictionary,,
??????,"Group , Companion , Friend , Associate , Ten , Tenth , Pregnant animal",link to dictionary,,
?????,"Night Blindness , Dim Sighted , Dinner , Evening",link to dictionary,,
????????,", Era , Time , Afternoon , Press , Squeeze , Age , Period , Tornado , Hurricane",link to dictionary,,
??????,"Group , Band , Gang , Fanatic , Nerve",link to dictionary,,
??????,", Era , Time , Afternoon , Press , Squeeze , Age , Period , Tornado , Hurricane",link to dictionary,,
??????,"Chaff , Straw , Blow Violently , Gale , Hurricane",link to dictionary,,
??????,"Restrain , Preserve , Neck less , Chastity , Sinless , Refuge",link to dictionary,,
?????,"Disobey , Resist , Defy",link to dictionary,,
??????,"Aid , Support , Help , Backer",link to dictionary,,
??????,"Become Difficult, To Prevent Marrying",link to dictionary,,
?????,"Bite , Cling , Suffer",link to dictionary,,
??????,"Bend , Lean , Incline , Sympathy , Curve",link to dictionary,,
?????,"Give , Present , Offer , Begging, Assume a Task",link to dictionary,,
??????,"Lack , Duke , Inactive , Stop , Unemployed , Shut Down",link to dictionary,,
??????,"Great , Magnificent , Powerful , Bone , Skeleton , Majesty",link to dictionary,,
?????,"Abstain , Refrain , Chaste , Honest",link to dictionary,,
????,"devil , Demon , Naughty",link to dictionary,,
?????,"Pardon , Forgive , Excuse<obliterated , Cure",link to dictionary,,
?????,"Pardon , Forgive , Excuse<obliterated , Cure",link to dictionary,,
??????,"Follow , Pursue , Investigate , Succeed , Search , Turn Back , Upside down",link to dictionary,,
??????,"Tie knot , Lock , Contract , Marriage , Puzzle , Complex , Faith , Belief",link to dictionary,,
??????,"Wound , Injure , Barren , Sterile , Middle , Real Estate , Drug",link to dictionary,,
??????,"Wise , Reasonable , Sensible , rational , Intelligent , Arrest , Throw down",link to dictionary,,
??????,"Barren , Sterile , Fruitless , Useless",link to dictionary,,
??????,"Barren , Sterile , Fruitless , Useless",link to dictionary,,
??????,"Devote one self , Cling , Addicted , Obsessed , secluded , Restrained , Curve",link to dictionary,,
?????,"Ill Sick , Lean , Weakness , Defect , Reason , Excuse , Justification",link to dictionary,,
???????,"Perhaps , May Be ,",link to dictionary,,
??????,"Hang , Suspended , Cling , Attached , Stick , Pregnant , Property , Coat Hanger , Relationship",link to dictionary,,
??????,"Know , Aware , Learn , Information , Science , Teach , Sign ,",link to dictionary,,
??????,"Known , Evident , Public , Declare , Announce , Notice , Reveal , Disclosure",link to dictionary,,
?????,",Upon, High , Rise , Ascend , Height , Altitude , Elevation , Basis , According to",link to dictionary,,
?????,"General , Common , Spread , Prevail , Uncle , Aunt , Cousin , Public , Turban",link to dictionary,,
?????,"General , Common , Spread , Prevail , Uncle , Aunt , Cousin , Public , Turban",link to dictionary,,
??????,"Support , Intent , main , Basic issue , Pole , Pillar , Column , Authorize , Confidence<reliance , Dependent",link to dictionary,,
??????,"Live Long , Prosper , Populated , Cause , Construct , upon Life , turban , Pilgrimage , Colonize , Inhabitate",link to dictionary,,
??????,"Deep , Bottom , Profound , Scrutinize",link to dictionary,,
??????,"Do , Act , Work , Plan , Strive , Operate , Customer , Business , Behavior , Use , Utilize",link to dictionary,,
??????,"Blind , Not see , Obscure ,ignorance , Dark , Heavy Clouds",link to dictionary,,
????,"About , On , From",link to dictionary,,
??????,"Stray , Wander about",link to dictionary,,
??????,"With , in ones possession , have , upon , then , at that time , resist with stubbornly , obstinate",link to dictionary,,
??????,"Hardship , Distress , Trouble , Harass , Insist Stubbornly, Sin , Distress , Difficult Task",link to dictionary,,
??????,"Hardship , Distress , Trouble , Harass , Insist Stubbornly, Sin , Distress , Difficult Task",link to dictionary,,
??????,"Hardship , Distress , Trouble , Harass , Insist Stubbornly, Sin , Distress , Difficult Task",link to dictionary,,
???,Grapes. Bunch of grapes,link to dictionary,,
??????,"Neck , Trunk , Stem , Group , Party , Misfortune , Begin to ripe , High Mountain , Embrace , Hug",link to dictionary,,
??????????,"Spider , Cobweb",link to dictionary,,
??????,"Full Fill , Heed , Entrust , Obligate , Trust , Pledge , Promise , Oath , Agreement , Time , Epoch , Era , Crown",link to dictionary,,
?????,"Wool , Limb , Extremities , Ramble",link to dictionary,,
?????,"Visit , Return , come back,",link to dictionary,,
??????,"Bent , Turn , Crooked , Abandon , Deviate",link to dictionary,,
?????,"Take Refuge , Seek the protection ,",link to dictionary,,
?????,"Damage , Defect , Lend , Alternate",link to dictionary,,
?????,"Delay , Prevent , Withheld",link to dictionary,,
?????,"Unjust , Deviate , Helper , Supporter , Family , Dependent , Decision",link to dictionary,,
?????,"Annual , Yearly , Swim , Float",link to dictionary,,
?????,"Annual , Yearly , Swim , Float",link to dictionary,,
?????,"Help , Aid , Relief , Support, Middle Age",link to dictionary,,
?????,"Unable , Powerless , Weak , Exhausted",link to dictionary,,
?????,"Defective , Faulty , Disgrace, Dishonor",link to dictionary,,
?????,"Wander , Roam , Shame , Caravan , Loafer , Measure , Caliber , Abuse",link to dictionary,,
????,"Feast , Holiday , Easter ,",link to dictionary,,
?????,"Live , Life , Livelihood , Make a living , Employee , Support",link to dictionary,,
???,"Eye , Spring , Source , Fountain , Tearful , Choice , Allocate , Fixed , Schedule , Survey , View",link to dictionary,,
?????,"Raid , Invade , Depression , Deep , Cave , Heroic , Courageous , Commandos",link to dictionary,,
??????,"Pass , Elapse , Dust , Dust Cloud , Old , Ancient Times",link to dictionary,,
??????,"Cheat , Deceive , Wrong ,",link to dictionary,,
?????,"Lean , Meager , Thin , Poor",link to dictionary,,
?????,"Go , Leave , Come , Do , Early in the morning , Breakfast , Following Day , Tomorrow , Breakfast , Lunch",link to dictionary,,
?????,"Go , Leave , Come , Do , Early in the morning , Breakfast , Following Day , Tomorrow , Breakfast , Lunch",link to dictionary,,
??????,"Betray , Treachery , Double Cross , Leave , Departure , Pond , Brook",link to dictionary,,
??????,"Pour Down of rain , Shower , Abundant , Load",link to dictionary,,
??????,"Go Away , Setting of the sun , Stranger , west , Western , Subdue , Crow , Raven",link to dictionary,,
?????,"Deceive , Delude , Blind , Deception , Illusion , Vanity , Danger , Snobbery , Enticement",link to dictionary,,
?????,"Glue , Sticky , Provoke , Incite , Cause , Tempt , Desire",link to dictionary,,
??????,"Room , Chamber , Ladle , Scoop",link to dictionary,,
??????,"Plunge , Sink , Drown , Absorbed , Immersed , Overdo ,",link to dictionary,,
??????,"Pay , Damage , Infatuation in love , to be in Love , Damage , Debt",link to dictionary,,
??????,"Spin, Spinner of yarn, Weaver , Love poems",link to dictionary,,
?????,"Signify , Raids , Invasion",link to dictionary,,
??????,"Dusk , Dark of night",link to dictionary,,
??????,"Wash , Launder , Clean , Ablution , Detergent , Soap , Washbasin",link to dictionary,,
?????,"Cover , Conceal , Dark of Night , Unconscious , Faint , Veil , Wrap , Servants",link to dictionary,,
?????,"Deceive , Adulterate , Imposter , Swindler",link to dictionary,,
??????,", Object of Anger, To Become Angry, Wratyh, Fury , Rage ,",link to dictionary,,
????,"Choke , Overcrowded , Crammed",link to dictionary,,
?????,"Labor Difficulty , Wrinkle , Fold",link to dictionary,,
?????,"Cover , Cover up,",link to dictionary,,
??????,"Dark , Dim",link to dictionary,,
?????,"Insert , Stick , Penetrate , Crop , Hate , Thirst , Iron Collar , Chains",link to dictionary,,
??????,"Neglect , Ignore , Heedless , Inattentive , Disregard , Surprise",link to dictionary,,
??????,"Forgive , Grant , Parson , To ask God's Forgiveness",link to dictionary,,
??????,"Conquer , Defeat , Overcome , Most Likely , Majority",link to dictionary,,
??????,"Close , Lock , Bolt , Padlock",link to dictionary,,
??????,"Rude , Treat Harshly , Thick",link to dictionary,,
??????,"Slave , Servant , Boy , Youth , Lust",link to dictionary,,
???,"Cover , Wrap , Envelope , Case",link to dictionary,,
?????,"Excess , Exaggerate , High Cost , Extremist , Radical , Fanatic",link to dictionary,,
??????,"Belittle , Despise , Bleariness",link to dictionary,,
??????,"Cover , Bury , Abundant of water , Flood , Throes of death , Adventure",link to dictionary,,
?????,"Distress , Cover , Conceal , Painful , Grieved , Cloud",link to dictionary,,
??????,"Signal , Slander , Wink , Weakness , Fault",link to dictionary,,
??????,"Gain Boot , Capture , Obtain , Plunder , Spoils , Loot , Sheep",link to dictionary,,
??????,"Rich , Wealthy , Able to dispense , Sing , Chant , Beautiful women , To be of no use ,",link to dictionary,,
?????,"Help , Aid , Rescue",link to dictionary,,
?????,"Help , Aid , Rescue",link to dictionary,,
?????,"Dive , Plunge , Immerse",link to dictionary,,
?????,"Misguided , Mislead , Seduced , Tempt , Pitfall , Trap",link to dictionary,,
?????,"Absent , Hidden , Invisible , Remove , Sunset",link to dictionary,,
???,"Send Rain , Abundant rain , Cloud ,",link to dictionary,,
???,"Jealousy , Zeal , Sense of Honor , Change , Alert , Modify",link to dictionary,,
?????,"Decrease , Recede",link to dictionary,,
?????,"Anger , Infuriate , Wrath , Rage",link to dictionary,,
?????,Field,link to dictionary,,
??????,"Open , Begin , Conquer , Victory , Introduction , Short Vowel ,",link to dictionary,,
??????,"Heart , Proper name",link to dictionary,,
??????,"Not to cease, To Refrain",link to dictionary,,
??????,"Slackness , Weakness , Short Span of time , Warm water, Laxity,",link to dictionary,,
??????,"Rupture , Hernia , Ripped Open , Bring forth",link to dictionary,,
??????,"Twisted , Turn away,",link to dictionary,,
??????,"Seduce , Entice , Charm , Fascinate , Inform against , Slanderer",link to dictionary,,
??????,"Young , Youthful , Adolescent , Legal opinion , Expounder of Islamic Law , Consult , Plebiscite , Referendum",link to dictionary,,
??????,"Cleave , Dig up , Sin , Adultery , Dawn , Daybreak , To let water flow , Explode , To overflow ,",link to dictionary,,
?????,"Way , Mountain Pass , From all directions , Green , Blunt , Rude",link to dictionary,,
??????,"Obscene , Crime , Atrocity , Adultery , Excessive",link to dictionary,,
??????,"Boastful , Glory , Honor , Pride , Fired Clay , Earthenware , Pottery",link to dictionary,,
?????,"Redeem , Ransom , Sacrifice , Guard , Prevent , Avoid",link to dictionary,,
????,"Singular , Unusual",link to dictionary,,
??????,"Open , Split , Breach , Vulva , Relief , Comfort , Pleasure",link to dictionary,,
?????,"Flee , Runaway , Escape , Deserter , Fugitive",link to dictionary,,
?????????????,"Paradise , Heavenly",link to dictionary,,
??????,"Single , Alone , Unique , Word , Terms , Autocracy",link to dictionary,,
??????,"Joyful , Glad , Happy",link to dictionary,,
??????,"Spread , Cover , Furniture , Carpet , Mattress , Brush , Moth , Butterfly , Pillow , Blanket , Bed , Servant",link to dictionary,,
??????,"Decree , Ordain , Assign , Impose",link to dictionary,,
??????,"Precede , Slip , Escape , Exaggerate , Leave , Abandon , Waste , Squander ,",link to dictionary,,
??????,"Empty , Vacate , Used up , Devote , Attend , Vacant , Idle , Useless , Unload , Discharge , Pour out",link to dictionary,,
??????,"Separate , Divide , Severe , Part , Difference , Distinguish , Fearful , Band , Group , Part , Scatter , Breakup ,",link to dictionary,,
??????,"Fabricate , Lie , Slander , Split or cut length wise , Aggressor",link to dictionary,,
??????,"Fear , Frightened , Alarm",link to dictionary,,
?????,"Jump up , Start , Excite , Incite",link to dictionary,,
??????,"Wide , Spacious , make room , Take a walk , Clear",link to dictionary,,
?????,"Jump up , Start , Excite , Incite",link to dictionary,,
??????,"Stray , Sinful , Immoral , Unrighteous , Offender ,",link to dictionary,,
??????,"Vicious , Corrupt , Evil , Inform against , Intrigue against",link to dictionary,,
???,"Inform , Interpret , comment",link to dictionary,,
?????,"Spread , Circulate , Divulge",link to dictionary,,
??????,"Despair , Fail , Unsuccessful , Undermine , thwart ,",link to dictionary,,
??????,"Separate , Detach , Segregate , Decision , Last word , Judgment , Chapter , Cass , Session , Grade",link to dictionary,,
??????,"Eloquent , Literary Language , Fluent",link to dictionary,,
??????,"Crack , Split , Destroy",link to dictionary,,
??????,"Expose , Dishonor , Eclipse , rape , Betray , shameful",link to dictionary,,
?????,"Break , Snap , Pierce , Conclude , Silver",link to dictionary,,
??????,"Split , Break the fast , Breakfast , Make , Create , Natural disposition , innate character , mushroom , Pastry",link to dictionary,,
?????,"Space , Sky , Vast expanse , Empty , Arrive , Lead",link to dictionary,,
??????,"Surplus , Surpass , Excellent , Merit , Thanks , Remainder , Outstanding , Learnt man , Generous",link to dictionary,,
????,"Crude , Rude , Blunt",link to dictionary,,
??????,"Do , Act , Perform , Function , Action , Workman , Object , Interact , Excite",link to dictionary,,
??????,"Lose , Miss , Deprived , Search , Examine , Inspect",link to dictionary,,
??????,"Pierce , Need , Poor , Vertebra , Paragraph",link to dictionary,,
??????,"To Burst, Bright Yellow",link to dictionary,,
????,"Separate , Untie , Undo , Ransom , Set free , Release , Redemption , Screw driver",link to dictionary,,
??????,"Comprehend , Understanding , Knowledge , Islamic Jurisprudence , Teach , Expert",link to dictionary,,
??????,"Think , Intellect , Opinion , View , Idea , Reflect",link to dictionary,,
??????,"Cultivate , Prosperity , Welfare , Success , Salvation , Agricultural , Farmer , Lucky , Successful",link to dictionary,,
??????,"Fruit, Humor , Amuse , Joke , Have fun",link to dictionary,,
??????,"Humor , Amuse , Joke , Have fun",link to dictionary,,
??????,"Split , Tear , Asunder , Crack",link to dictionary,,
??????,"Celestial , Sphere , Star , Orbit , Astronomy , Ship , Boat",link to dictionary,,
??????,So and so,link to dictionary,,
??????,"Pass away , Perish , Cease , Vanish , Destruction , Annihilation , Non Existence , Ruin , Destroy , Consumed",link to dictionary,,
???????,"Disprove , Refute , Classify , Specify",link to dictionary,,
?????,"Pass away , Vanish , Past , Escape , Elude",link to dictionary,,
??????,"Understand , Comprehend , Realize , Meaning , Inquire , Ask , Question",link to dictionary,,
?????,"Group , Crowd , Party , Battalion ,",link to dictionary,,
?????,"Boil , Flare up , Gush forth",link to dictionary,,
?????,"Surpass , Superior , Exceed , Up , On top , Above , Beyond , Unlimited , Excessive , Higher , Awake , Recovery",link to dictionary,,
?????,"Boil , Flare up , Gush forth",link to dictionary,,
?????,"Success , Triumph , Achievement , Winner",link to dictionary,,
????,"Disorder, Chaotic, Mandate, Authorization",link to dictionary,,
?????,"Return , Shift from West to East , Shadow",link to dictionary,,
?????,"Utter , Voice , Say , Mouth",link to dictionary,,
???,"In , At , On , With , About , for",link to dictionary,,
?????,"Flood, Abundant, Spread, Generous, Abundance, Detail",link to dictionary,,
????,Elephant,link to dictionary,,
??????,"Bury , Grave , Tomb , Cemetery",link to dictionary,,
??????,"Acquire , Borrow , Adopt , Live Coal , Firebrand",link to dictionary,,
??????,"Seize , Grasp , Hold , Receive , Collect , Constipate",link to dictionary,,
??????,"Ugly , Repulsive , Shameful , Dislike",link to dictionary,,
??????,"Accept , Receive , Approve , Previous , Earlier , Before , Front , Face , In Front , from , Near , Towards , Direction of Kaaba , Jerusalem , Power , Ability , Aptitude , Comparison , Reception",link to dictionary,,
??????,"Poor , Parsimonious",link to dictionary,,
?????,"Misrepresent , Slanderer ,",link to dictionary,,
??????,"Kill , Murder , Victim , Deadly , Battle , Fight , Struggle",link to dictionary,,
??????,"Plunge , Rush , Reckless , Daring , Drag , Invade , Penetrate",link to dictionary,,
??????,"Plunge , Rush , Reckless , Daring",link to dictionary,,
??????,"Bore , Pierce , Slander , Violate , Strike fire , Emit Spark , Cup , Glass , Rainbow , Flint , Lighter , Weight , Consider",link to dictionary,,
??????,"Decree , Ordain , Have Power , Capable , Amount , Sum , Value , Night in which Quran was revealed , Fate , Destiny , Measure ,",link to dictionary,,
????,"Indeed , Already , Completion of an Action",link to dictionary,,
?????,"Strip , Strap , Shape , Figure , Thin , Emancipated",link to dictionary,,
??????,"Precede , Arrive , Come , Old Tomes , Ancient , Front , Foot , Bold , Daring , Submit , Promote , Advance",link to dictionary,,
??????,"Holy , Sacred , Sanctuary",link to dictionary,,
??????,"Arrive, Draw near, Model, Example, Example, Guided, Following the example.",link to dictionary,,
??????,"Throw , Hurl , Toss , Defamation , Slander",link to dictionary,,
?????,"Settle Down , Seat , Center , Site , Place , Decided , Cold , Delight to the eye , Joy , Pleasure , Stability , Residence",link to dictionary,,
??????,"Near , Close , Approach , Relative , Sacrifice , Recently , Come Close,",link to dictionary,,
??????,"Recite , Read , Study , Reading of The Quran",link to dictionary,,
??????,"Cut , Bite , Loan , Bonds , Scissors , Die out",link to dictionary,,
?????,"Monkey , Ape ,",link to dictionary,,
??????,"Wound , ulcer , Genius , Talent",link to dictionary,,
??????,"Knocking , Beating , Striking , Ringing , Pumpkin , Zucchini , Lot , Ballot , Misfortune , Calamity , Hour of the last judgment , Draft , Vote , Selection",link to dictionary,,
??????,", Commission, Peel , Loath , Detest , Cinnamon , Cemetery",link to dictionary,,
????????,"Paper , Sheet of paper",link to dictionary,,
??????,"Connect , Add , Horn , Capsule , Century , Alexander the great , companion , associate , spouse ,",link to dictionary,,
???,"Investigate , Pursue , Examine",link to dictionary,,
?????,"Receive , Entertain , Village , Mecca Medina , Country , Peasant",link to dictionary,,
??????,"Sad, Arrow, Share, Cast lots",link to dictionary,,
??????,"Divide , Split , Distribute , Group , Class , Part , Receipt , Share , Classify , Swear , Oath",link to dictionary,,
????????,"Balance , Scale , Criterion",link to dictionary,,
???,"Justice , Fair , Correct , Part , Share , Installment , Payment",link to dictionary,,
?????,"Hard , Harsh , Cruel , Stern ,",link to dictionary,,
????????,"Shudder , Tremble , Shiver",link to dictionary,,
??????,"Seek , Pursue , Aspire , Follow , Going , Intent , Compose , Thrift , Saving , Economy",link to dictionary,,
??????,"Seek , Pursue , Aspire , Aim , Intent , Purpose ,",link to dictionary,,
?????,"Cut off , Trim , Follow Tracks , Relate , Tell , Story , Forelock , Retaliate , Punish ,",link to dictionary,,
??????,"Break , Brittle, Fragile",link to dictionary,,
?????,"Far away , Distant , Remote , Remove , Dismiss , To Reach Far away , Inquiry , Look deeply",link to dictionary,,
??????,"Break, Harass, Thunder ,",link to dictionary,,
??????,"Become short , Insufficient , Miss , To desist , Abstain , Deficiency , Decrease , Negligent , Castle , Palace",link to dictionary,,
??????,"Cut off , Trim , Stick , Abridged , Condensed account , Brief , Concise",link to dictionary,,
?????,"Settle , Complete , Accomplish , Judge , Decide , Sentence , Devine Decree , Necessary , Requirement",link to dictionary,,
??????,"Drop , rain , Region , Country , Diameter , Zone , Eye drop",link to dictionary,,
?????,"Curve , Trim , Sharpen",link to dictionary,,
??????,"Cut , Amputate , Separate , Break , Disconnect , Prohibit , Plot of Land , Lot , Section , Interruption , Termination.",link to dictionary,,
??????,"Pick , Gather , Harvest , Pluck off , Selected piece.",link to dictionary,,
??????,"Live, Cotton, Pulse, Variety of Squash",link to dictionary,,
??????,"Sit down , Remain seated , Lay in wait , 11th month , companion , guardian , seat , Chair , Bench",link to dictionary,,
??????,"Deep , Hollowed out , Keel , Shout , Scream , Concave",link to dictionary,,
?????,"Follow Trail , Track , Back , Reverse",link to dictionary,,
??????,"Come home , Shut , Close , Return , Lock , Padlock , Block , Accumulate , Convoy , Caravan",link to dictionary,,
??????,"Turn , Over , Inside out , upside down , heart , center , essence , Marrow , Mind , Upheaval , Revolution",link to dictionary,,
?????,"Small , Few , Rare , Decrease , Tremor , Highest Point , Summit , Independent , Autonomous , Separate , distinct",link to dictionary,,
?????,"Necklace , Key , Key position , Power , Appoint , Award , Follow Blindly , Traditional , Customary , Conventional",link to dictionary,,
??????,"Pluck Out , Root Out , Abandon",link to dictionary,,
?????,"Fry , Roast , Hate , Detest , Alkaline , Basic , Coptic , Patriarch",link to dictionary,,
??????,"Gamble , Moon , Satellite , Crescent , Moonlight , Moon shape , Lunar months , Moon Letters",link to dictionary,,
??????,"Cut , Prune , Trim , Pen , Handwriting , Style , Office , Bureau , Department , Writings",link to dictionary,,
??????,"Gallup , Spring , Jump , Shirt , Dress , Gown , Jacket , Incarnation , Clothe",link to dictionary,,
??????,"Suppress , Subdue , Hinder , Prevent",link to dictionary,,
??????,"Lice Infested ,",link to dictionary,,
??????,"Obedience to God , Submissive , Piety",link to dictionary,,
?????,"Acquire , Appropriate , Possess , Own , Shaft , Pipe , Water Way , Small streams",link to dictionary,,
??????,"Despair , Hopelessness , Discouraged",link to dictionary,,
??????,"Content , Satisfied , Convinced , Armor , Veil , Masked",link to dictionary,,
?????????,"Arched Stone , Bridge , Vault , Weight of 100 Rattle",link to dictionary,,
????,"Short Distance , Very Close , Chick",link to dictionary,,
?????,"Feed , Nourish , Food ,",link to dictionary,,
??????,"Subjugate , Conquer , Defeat , Coercion , Force , Victor , Grieved",link to dictionary,,
??????,"Hard, Stiff, Backbone, Text",link to dictionary,,
?????,"Pitch , Tar , Round Hole , Cut Out in a round form , Neckline",link to dictionary,,
????,"Plain , Lowland , Bottom , Gulf , Abyss",link to dictionary,,
??????,"Bent , Curve , Bow , Arc , Arch , Rainbow",link to dictionary,,
?????,"Get up , Stand up , Rise , Ascend , Depart , Leave , Located , Based , Nation , People , Figure , Frame , Support , Supply , Day of resurrection , Rising , Straight , Correct , Straight line",link to dictionary,,
?????,"Speak , say , Tell , Word , Report , Account , Doctrine , Confer , Negotiate , Dispute , Argue",link to dictionary,,
??????,"Strong , Vigorous , Superior , Strength , Power , Force , Empty , Deserted.",link to dictionary,,
?????,"Midday nap , Siesta , Chief , Resting Place , Retirement , Abolish , Cancellation",link to dictionary,,
????????,"Tracking, Following, Guise",link to dictionary,,
?????,"Throw down , Throw , Prostrate , Drinking Glass , Ball of Thread , Devoted",link to dictionary,,
?????,"Get up , Stand up , Rise , Ascend , Depart , Leave , Located , Based , Nation , People , Figure , Frame , Support , Supply , Day of resurrection , Rising , Straight , Correct , Straight line",link to dictionary,,
?????,"So and so , Such and such",link to dictionary,,
??????,"Suppress , Repress",link to dictionary,,
??????,"Wear down , Endure , Suffer , Liver , Heart , Center",link to dictionary,,
