ArabicWord,EnglishMeaning,Link,
صَدَقَ,"Speak the truth , Tell the truth , Prove to be true , Alms , Charity , Confirmation",link to dictionary,
صَدِيَ,"Very Thirsty , Echo , Oppose",link to dictionary,
صَرَّ,"Persist , Insist , Determined , Willfulness , Screeching",link to dictionary,
صَرَخَ,"Cry , Shout , Cry for help",link to dictionary,
صَرَعَ,"Throw down , Fell , Wrestle",link to dictionary,
صَرَفَ,"Turning away , Money Change , Canal , Drain , bank , Conjugate Verb , Act without restriction",link to dictionary,
صُرَّة,"Persist , Insist , Determined , Willfulness , Screeching",link to dictionary,
صَرُحَ,"Pure , Clear , Castle , Permission",link to dictionary,
صِرَاط,"Way Path , Straight Path",link to dictionary,
صَرُمَ,"Cut, Sharp , Hard , Severe , Elapsed time",link to dictionary,
صَرُمَ,"Sharp , Hard , Severe , Elapsed time",link to dictionary,
صَعَقَ,"Crush , Destroy , Struck by Lightning , Thunderbolt.",link to dictionary,
صَعِدَ,"Rise , Go up , Climb , Ascend , Highland , Plateau",link to dictionary,
صَغُرَ,"Small , Decrease , Young , Base , Minor",link to dictionary,
صَغَا,"Incline , Listen , Attentive , Heeding ,",link to dictionary,
صَغَا,"Incline , Listen , Attentive , Heeding ,",link to dictionary,
صَغَا,"Incline , Listen , Attentive , Heeding ,",link to dictionary,
صَفَحَ,"Flatten , Plate , Turn away , Surface , Page , Armor , Forgiving",link to dictionary,
صَفَدَ,"Bind , Shackle , Handcuff",link to dictionary,
صَفَّ,"Line up , Align , Arrange , Group",link to dictionary,
صَفَا,"Clear , Pure , Serene , Happiness , Refine",link to dictionary,
صَفَا,"Clear , Pure , Serene , Happiness , Refine",link to dictionary,
صُفْر,"Brass, Gold, Yellow, Money",link to dictionary,
صَكَّ,"Document , Contractor , Cheek",link to dictionary,
صَلَحَ,"Good , Right , Pious , Righteous , Authority , Ability , Power",link to dictionary,
صَلَدَ,"Solid , Hard , Arid",link to dictionary,
صَلْصَلَ,"Dry Clay , Ring , Clatter",link to dictionary,
صَلَبَ,"Crucify , Cross",link to dictionary,
صلو,"Pray , Worship , God Bless him and Grant Salvation to Prophet Mohammad",link to dictionary,
صَلَى,"Roast , Broil , Burn , Warm One self",link to dictionary,
صَلَى,"Roast , Broil , Burn , Warm One self",link to dictionary,
صَمَتَ,"Silent , Still ,",link to dictionary,
صَمَدَ,"Eternal , Everlasting , To Go",link to dictionary,
صَمَّ,"Deaf , Close , Resolve",link to dictionary,
صَومْعَة,"Monks call , Hermitage",link to dictionary,
صَنَعَ,"Make , Manufacture , Build , Profession",link to dictionary,
صَابَ,"Every Place , Right , Proper , Correct , Reason , Mind , Consciousness, Fall, Hit,",link to dictionary,
صَنَم,"Idol , image",link to dictionary,
صَهَرَ,"Relationship by Marriage , Melt",link to dictionary,
صَهَرَ,"Relationship by Marriage , Melt",link to dictionary,
صُنًو,"One of a pair , twin brother",link to dictionary,
صَاتَ,"Sound , Voice , Fame , Acoustic , Vote",link to dictionary,
صَاخَ,To Listen,link to dictionary,
صور,"Creator , Fashioner , Form , Picture , Image , Horn , Bugle",link to dictionary,
صَاع,"Cubic Measure , Salon , Submit",link to dictionary,
صَام,"Abstain , Fast , Fasting",link to dictionary,
صُوف,"Wool, Sufi",link to dictionary,
صَاحَ,"Cry , Shout , Scream",link to dictionary,
صَادَ,"Hunt , Trap , Net",link to dictionary,
صَارَ,"Begin , Start , End , Fate , Destiny , End , Result",link to dictionary,
صَيْف,Summer,link to dictionary,
صَارَ,"Begin , Start , End , Fate , Destiny , End , Result",link to dictionary,
ضَّأْن,"Sheep , Mutton",link to dictionary,
ضَحَا,"become Visible , Appear , Forenoon , Slaughter animal",link to dictionary,
ضَحِكَ,"Laugh , Ridicule , Mock , Fool",link to dictionary,
ضَجَعَ,"Lie down , Sleep , Bed , Bedroom",link to dictionary,
ضَدَّ,"Contrast , Against , Opposed",link to dictionary,
ضَرَّ,"Harm , Distress , Good and Bad times , Udder , Austerity , Necessary",link to dictionary,
ضَرَبَ,"Beat , Strike , Knock , Abstain, Turn away , Move , Travel , Make an appointment , Multiply , Example",link to dictionary,
ضّخَّ,"Spurt , Squirt , Pump",link to dictionary,
ضَرَّ,"Harm , Distress , Good and Bad times , Udder , Austerity , Necessary",link to dictionary,
ضَرَبَ,"Beat , Strike , Knock , Turn away , Move , Travel , Make an appointment , Multiply , Example",link to dictionary,
ضَرَّ,"Harm , Distress , Good and Bad times , Udder , Austerity , Necessary",link to dictionary,
ضَرَّ,"Harm , Distress , Good and Bad times , Udder , Austerity , Necessary",link to dictionary,
ضَرَعَ,"To Implore , Udder , Teat , Agriculture and stock Farming , Implore , Supplication , Submission",link to dictionary,
ضَرَعَ,"Humble , Udder , Teat , Agriculture and stock Farming , Implore , Supplication , Submission",link to dictionary,
ضَعُفَ,"Weak , Impairment , Oppressed",link to dictionary,
ضَعَفَ,"Double , Multiply , Many times",link to dictionary,
ضَغِنَ,"Grudge , Resent , Secret Hatred",link to dictionary,
ضَعَفَ,"Double , Multiply , Many times",link to dictionary,
ضِفدَع,Frog,link to dictionary,
ضَلَّ,"Lose one's way , Stray , False hood , Mislead",link to dictionary,
ضغَثَ,"Confuse , Confused dreams , Bouquet",link to dictionary,
ضَمُرَ,"Lean , Contract , Heart , Mind , Conscientious",link to dictionary,
ضَمَّ,"Join , Unite , Attach , Vowel",link to dictionary,
ضَاءَ,"Glean , Light , Shine , Glow",link to dictionary,
ضَنُكَ,"Straitened , Weak , Exhausted , Poverty , Hard",link to dictionary,
ضَنَّ,"stingy , Thrifty",link to dictionary,
ضَهِي,"Similar , Like , Analogous",link to dictionary,
ضَارَ,"Harm , Wrong",link to dictionary,
ضَاعَ,"Lost , Waste , Neglect , Omission",link to dictionary,
ضَاعَ,"Lost , Waste , Neglect , Omission",link to dictionary,
ضَافَ,"Guest , Hospitality , Addition , second member of a construct phrase",link to dictionary,
ضَاقَ,"Become narrow , tired , Anguished , Life depressed him",link to dictionary,
ضَاقَ,"Become narrow , tired , Anguished , Life depressed him",link to dictionary,
طَبَعَ,"Print , Nature , Character",link to dictionary,
طَبَقَ,"Plate , Layer , Story of a building , Class , Agreement , conformity , Close , Shut , Apply , Correspondence , Fitting",link to dictionary,
طَرَحَ,"Throw down , Discarded , Present , Submit , Miscarry",link to dictionary,
طَرَدَ,"Drive Away , Expel",link to dictionary,
طَرَفَ,"Blink , Wink , Eye , Glance , edge , Border , Region",link to dictionary,
طَرَقَ,"Knock , Hammer , Come by Night , Tread , Follow road , Manner , Mode , Procedure , Contemplation",link to dictionary,
طَرِىَ,"Fresh , Soft , Moist , Tender , High Quality",link to dictionary,
طَعِمَ,"Eat , Taste , Meal , Vaccine , Restaurant",link to dictionary,
طَغَا,"Exceed Proper Bounds, Rage , Flood , Tyrannical , Prevail , Violent",link to dictionary,
طَعَنَ,"Stab, Pierce, Defame, Plage, Attack, Abuse",link to dictionary,
طَفِىءَ,"Go Out , Extinguish , Turn Off",link to dictionary,
طَفِىءَ,"Go Out , Extinguish , Turn Off",link to dictionary,
طف,"Deficient , Small , Slight , Deficient , Stingy",link to dictionary,
طَفِقَ,"To Begin , Suddenly to do something",link to dictionary,
طَفْل,"Infant , Baby , Child , Parasite",link to dictionary,
طَلَبَ,"Look , Seek , Claim , Ask , Beg , Request , Student , Desire , Demand",link to dictionary,
طَلَّ,"Emerge, Rise, Appear",link to dictionary,
طَلَحَ,"Bad , Evil , Wicked , Banana, A Variety of Acacia",link to dictionary,
طَلَعَ,"Rise , Emerge , Appear , Ascend , Reader , Study , Exam",link to dictionary,
طَلُقَ,"Divorced , Free , Unrestrained , Leanne , Depart , Start Moving , Utter words against",link to dictionary,
طَأْمَنَ,"Mind at Rest , Calm , Tranquility , Feel Assured",link to dictionary,
طَمَّ,"Flood , Engulf , Large Quantity , Sea , Great Riches ,",link to dictionary,
طَمَثَ,"Mensurate, Deflower, Touch",link to dictionary,
طَمَسَ,"Erase , Destroyed , Extinct , Obscure",link to dictionary,
طَمَسَ,"Erase , Destroyed , Extinct , Obscure",link to dictionary,
طَمِعَ,"Desire , Covet , Aspire , Hope",link to dictionary,
طَهُرَ,"Clean , Pure , Chaste , Virtuous , Purge",link to dictionary,
طَاعَ,"Obedient , Voluntary , Obey",link to dictionary,
طَوْر,"Phase , Condition , Limit , Period , Develop , Advance , Evolve , Theory of Evolution",link to dictionary,
طَوْد,"High Mountain , Soar up in the air",link to dictionary,
طَافَ,"Wander , Make rounds among people , Circumambulate of Kaaba , Round , Circle",link to dictionary,
طَاقَ,"Endure , Ability , Power , Necklace , Collar , Ring like",link to dictionary,
طَالَ,"Long , Last Long Time , Taller , Power , Length",link to dictionary,
طَوَى,"Roll Up , Close , Secret , Bury Past , Hunger , Intention , Conscience",link to dictionary,
طَوَى,"Roll Up , Close , Secret , Bury Past , Hunger , Intention , Conscience",link to dictionary,
طَابَ,"Good , Pleasant , Delicious , Perfume",link to dictionary,
طَارَ,"Fly , Carry Away , Bird , Evil Omen , Scatter",link to dictionary,
طَارَ,"Fly , Carry Away , Bird , Evil Omen , Scatter",link to dictionary,
طِيِن,"Clay , Soil , Mud , Basis",link to dictionary,
ظَعَنَ,"Move Away , Depart, Journey",link to dictionary,
ظَفِرَ,"Possess , gain , Conquer , Gain , Successful , Finger nail",link to dictionary,
ظَلَّ,"Continue , Shadow , Shelter , Protection",link to dictionary,
ظَهَرَ,"Back, Top, Appear , Emerge , Climb , Triumph , Learn , Visible , Clear , Evident , Afternoon ,",link to dictionary,
ظَهَرَ,"Appear , Emerge , Climb , Triumph , Learn , Visible , Clear , Evident , Afternoon ,",link to dictionary,
ظَلَمَ,"Wrong , Injustice , Oppressed , Darkness. Gloom , Atlantic , Black out",link to dictionary,
ظَنَّ,"Think , Suppose , Opinion , Belief , Suspect , Doubtful , Unreliable",link to dictionary,
ظَمِىءَ,"Thirst , Thirsty",link to dictionary,
عَبَثَ,"Mix , Play , Joke , Scorn , Offend , Tease",link to dictionary,
عَبَرَ,"Cross , Pass away , Shed Tears , , Warning , Lesson , Word , Sentence",link to dictionary,
عَبَدَ,"Serve , Worship , Slave , Believers",link to dictionary,
عَبَأَ,"Not care , Unimportant , Arrange , Load",link to dictionary,
عَبَسَ,"Frown , Scull , Stern",link to dictionary,
عَبْقَرِيَ,"Ingenious Person , Genius",link to dictionary,
عَتَبَ,"Blame , Censure , Step",link to dictionary,
عَتَا,"Insolent , Arrogance , Haughty , Violent",link to dictionary,
عَتَرَ,"Strong , Progeny , Stupid",link to dictionary,
عَتَلَ,"Carry , Porter",link to dictionary,
عَتُدَ,"Ready , Prepare , Ammunition",link to dictionary,
عَتُقَ,"Age , Mature , Emancipated , Old , Ancient",link to dictionary,
عَثَرَ,"Stumble , Trip , Discover",link to dictionary,
عَثا,"Act Wickedly , Cause Mischief",link to dictionary,
عَجَبَ,"Wonder , Surprise , Strange , Admiration , Conceited",link to dictionary,
عُثَ,"Moth , Moth Eaton",link to dictionary,
عَجْفَاءُ,"Slender , Lean",link to dictionary,
عَجِلَ,"Hurry , Quick , Expedition , Haste",link to dictionary,
عَجَزَ,"Weak , Unable , Old Age , Old Woman, Miracle, Stump of a Tree, Impossible",link to dictionary,
عَدَّ,"Count , Calculate , Number",link to dictionary,
عَجَمَ,"Try to test , Foreigner",link to dictionary,
عَدَلَ,"Justice , Fairness , Equal , Honesty , Deviate",link to dictionary,
عَدَا,"Exceed, Enemy , Hostile , Infect , Pass",link to dictionary,
عَدْن,"Eden , Paradise , Mineral , Mine",link to dictionary,
عَذُبَ,"Sweet , Fresh Water , pain , Suffering , Torture , Punishment",link to dictionary,
عَذَرَ,"Excuse , Forgive , Plea , Virgin",link to dictionary,
عَرَب,"Arab , Bedouin , Express, Declare, carriage",link to dictionary,
عَرَّ,"Shame , Disgrace",link to dictionary,
عَرَجَ,"Ascend , Mount , Lame , Curve , Twist",link to dictionary,
عَرَشَ,"Erect , Throne , Shaft",link to dictionary,
عَرَشَ,"Erect , Throne , Shaft",link to dictionary,
عَرُضَ,"Wide , Broad , Appear , Visible , Submit , Review , Demand , Latitudinal Degree, Resist, Oppose",link to dictionary,
عَرَفَ,"Know , Recognize , Approve , Grateful , Perfume , Identity , Information , Notice",link to dictionary,
عَرَا,"Befall , Seize , Possession , Strong Bond",link to dictionary,
عَرِم,"Violent , Huge , Enormous , Stack",link to dictionary,
عَرِيَ,"Bare , Outdoors",link to dictionary,
عَزَبَ,"Far , Distant , Escape , Unmarried",link to dictionary,
عَزَّ,"Power , Glory , Honor , Fame , Strong , Strength , Proud",link to dictionary,
عَزَا,"Ascribe , Attribute , Charge , Consolation , Condolence , Sympathy",link to dictionary,
عَزَلَ,"Remove , Isolate , Separate , Withdraw",link to dictionary,
عَزَمَ,"Decide , Resolve , Determine , Invite",link to dictionary,
عَزَمَ,"Decide , Resolve , Determine , Invite",link to dictionary,
عَسَى,"Possible , Perhaps , What it might be",link to dictionary,
عَسُرَ,"Difficult , Hard , Poverty",link to dictionary,
عَسْعَسَ,Darken,link to dictionary,
عَشَرَ,"Group , Companion , Friend , Associate , Ten , Tenth , Pregnant animal",link to dictionary,
عَشَا,"Night Blindness , Dim Sighted , Dinner , Evening",link to dictionary,
إِعْصَار,", Era , Time , Afternoon , Press , Squeeze , Age , Period , Tornado , Hurricane",link to dictionary,
عَصَبَ,"Group , Band , Gang , Fanatic , Nerve",link to dictionary,
عَصَرَ,", Era , Time , Afternoon , Press , Squeeze , Age , Period , Tornado , Hurricane",link to dictionary,
عَصَفَ,"Chaff , Straw , Blow Violently , Gale , Hurricane",link to dictionary,
عَصَمَ,"Restrain , Preserve , Neck less , Chastity , Sinless , Refuge",link to dictionary,
عَصَى,"Disobey , Resist , Defy",link to dictionary,
عَضَدَ,"Aid , Support , Help , Backer",link to dictionary,
عَضِلَ,"Become Difficult, To Prevent Marrying",link to dictionary,
عَضَّ,"Bite , Cling , Suffer",link to dictionary,
عَطَفَ,"Bend , Lean , Incline , Sympathy , Curve",link to dictionary,
عَطَا,"Give , Present , Offer , Begging, Assume a Task",link to dictionary,
عَطِلَ,"Lack , Duke , Inactive , Stop , Unemployed , Shut Down",link to dictionary,
عَظُمَ,"Great , Magnificent , Powerful , Bone , Skeleton , Majesty",link to dictionary,
عَفَّ,"Abstain , Refrain , Chaste , Honest",link to dictionary,
عفرت,"devil , Demon , Naughty",link to dictionary,
عَفَا,"Pardon , Forgive , Excuse<obliterated , Cure",link to dictionary,
عَفَا,"Pardon , Forgive , Excuse<obliterated , Cure",link to dictionary,
عَقَبَ,"Follow , Pursue , Investigate , Succeed , Search , Turn Back , Upside down",link to dictionary,
عَقَدَ,"Tie knot , Lock , Contract , Marriage , Puzzle , Complex , Faith , Belief",link to dictionary,
عَقَرَ,"Wound , Injure , Barren , Sterile , Middle , Real Estate , Drug",link to dictionary,
عَقَلَ,"Wise , Reasonable , Sensible , rational , Intelligent , Arrest , Throw down",link to dictionary,
عَقَمَ,"Barren , Sterile , Fruitless , Useless",link to dictionary,
عَقَمَ,"Barren , Sterile , Fruitless , Useless",link to dictionary,
عَكَفَ,"Devote one self , Cling , Addicted , Obsessed , secluded , Restrained , Curve",link to dictionary,
عَلَّ,"Ill Sick , Lean , Weakness , Defect , Reason , Excuse , Justification",link to dictionary,
لَعَلَّ,"Perhaps , May Be ,",link to dictionary,
عَلِقَ,"Hang , Suspended , Cling , Attached , Stick , Pregnant , Property , Coat Hanger , Relationship",link to dictionary,
عَلِمَ,"Know , Aware , Learn , Information , Science , Teach , Sign ,",link to dictionary,
عَلَنَ,"Known , Evident , Public , Declare , Announce , Notice , Reveal , Disclosure",link to dictionary,
عَلَا,",Upon, High , Rise , Ascend , Height , Altitude , Elevation , Basis , According to",link to dictionary,
عَمَّ,"General , Common , Spread , Prevail , Uncle , Aunt , Cousin , Public , Turban",link to dictionary,
عَمَّ,"General , Common , Spread , Prevail , Uncle , Aunt , Cousin , Public , Turban",link to dictionary,
عَمَدَ,"Support , Intent , main , Basic issue , Pole , Pillar , Column , Authorize , Confidence<reliance , Dependent",link to dictionary,
عَمَرَ,"Live Long , Prosper , Populated , Cause , Construct , upon Life , turban , Pilgrimage , Colonize , Inhabitate",link to dictionary,
عَمُقَ,"Deep , Bottom , Profound , Scrutinize",link to dictionary,
عَمِلَ,"Do , Act , Work , Plan , Strive , Operate , Customer , Business , Behavior , Use , Utilize",link to dictionary,
عَمِيَ,"Blind , Not see , Obscure ,ignorance , Dark , Heavy Clouds",link to dictionary,
عَنْ,"About , On , From",link to dictionary,
عَمِهَ,"Stray , Wander about",link to dictionary,
عَنَدَ,"With , in ones possession , have , upon , then , at that time , resist with stubbornly , obstinate",link to dictionary,
عَنِتَ,"Hardship , Distress , Trouble , Harass , Insist Stubbornly, Sin , Distress , Difficult Task",link to dictionary,
عَنِتَ,"Hardship , Distress , Trouble , Harass , Insist Stubbornly, Sin , Distress , Difficult Task",link to dictionary,
عَنِتَ,"Hardship , Distress , Trouble , Harass , Insist Stubbornly, Sin , Distress , Difficult Task",link to dictionary,
عنب,Grapes. Bunch of grapes,link to dictionary,
عَنِقَ,"Neck , Trunk , Stem , Group , Party , Misfortune , Begin to ripe , High Mountain , Embrace , Hug",link to dictionary,
عَنْكَبُوت,"Spider , Cobweb",link to dictionary,
عَهِدَ,"Full Fill , Heed , Entrust , Obligate , Trust , Pledge , Promise , Oath , Agreement , Time , Epoch , Era , Crown",link to dictionary,
عِهْن,"Wool , Limb , Extremities , Ramble",link to dictionary,
عَادَ,"Visit , Return , come back,",link to dictionary,
عَوِجَ,"Bent , Turn , Crooked , Abandon , Deviate",link to dictionary,
عَاذَ,"Take Refuge , Seek the protection ,",link to dictionary,
عَارَ,"Damage , Defect , Lend , Alternate",link to dictionary,
عَاقَ,"Delay , Prevent , Withheld",link to dictionary,
عَالَ,"Unjust , Deviate , Helper , Supporter , Family , Dependent , Decision",link to dictionary,
عَامَ,"Annual , Yearly , Swim , Float",link to dictionary,
عَامَ,"Annual , Yearly , Swim , Float",link to dictionary,
عَانَ,"Help , Aid , Relief , Support, Middle Age",link to dictionary,
عَىَّ,"Unable , Powerless , Weak , Exhausted",link to dictionary,
عَابَ,"Defective , Faulty , Disgrace, Dishonor",link to dictionary,
عَيرَ,"Wander , Roam , Shame , Caravan , Loafer , Measure , Caliber , Abuse",link to dictionary,
عِيد,"Feast , Holiday , Easter ,",link to dictionary,
عَاشَ,"Live , Life , Livelihood , Make a living , Employee , Support",link to dictionary,
عين,"Eye , Spring , Source , Fountain , Tearful , Choice , Allocate , Fixed , Schedule , Survey , View",link to dictionary,
غَارَ,"Raid , Invade , Depression , Deep , Cave , Heroic , Courageous , Commandos",link to dictionary,
غَبَرَ,"Pass , Elapse , Dust , Dust Cloud , Old , Ancient Times",link to dictionary,
غَبَنَ,"Cheat , Deceive , Wrong ,",link to dictionary,
غَثَّ,"Lean , Meager , Thin , Poor",link to dictionary,
غَدَا,"Go , Leave , Come , Do , Early in the morning , Breakfast , Following Day , Tomorrow , Breakfast , Lunch",link to dictionary,
غَدَا,"Go , Leave , Come , Do , Early in the morning , Breakfast , Following Day , Tomorrow , Breakfast , Lunch",link to dictionary,
غَدَرَ,"Betray , Treachery , Double Cross , Leave , Departure , Pond , Brook",link to dictionary,
غَدِقَ,"Pour Down of rain , Shower , Abundant , Load",link to dictionary,
غَرَبَ,"Go Away , Setting of the sun , Stranger , west , Western , Subdue , Crow , Raven",link to dictionary,
غَرَّ,"Deceive , Delude , Blind , Deception , Illusion , Vanity , Danger , Snobbery , Enticement",link to dictionary,
غَرَا,"Glue , Sticky , Provoke , Incite , Cause , Tempt , Desire",link to dictionary,
غَرَفَ,"Room , Chamber , Ladle , Scoop",link to dictionary,
غَرِقَ,"Plunge , Sink , Drown , Absorbed , Immersed , Overdo ,",link to dictionary,
غَرِمَ,"Pay , Damage , Infatuation in love , to be in Love , Damage , Debt",link to dictionary,
غَزْلَ,"Spin, Spinner of yarn, Weaver , Love poems",link to dictionary,
غَزَا,"Signify , Raids , Invasion",link to dictionary,
غَسَقَ,"Dusk , Dark of night",link to dictionary,
غَسَلَ,"Wash , Launder , Clean , Ablution , Detergent , Soap , Washbasin",link to dictionary,
غَشَا,"Cover , Conceal , Dark of Night , Unconscious , Faint , Veil , Wrap , Servants",link to dictionary,
غَشَّ,"Deceive , Adulterate , Imposter , Swindler",link to dictionary,
غَضِبَ,", Object of Anger, To Become Angry, Wratyh, Fury , Rage ,",link to dictionary,
غَضَ,"Choke , Overcrowded , Crammed",link to dictionary,
غَضَن,"Labor Difficulty , Wrinkle , Fold",link to dictionary,
غَطَا,"Cover , Cover up,",link to dictionary,
غَطَشَ,"Dark , Dim",link to dictionary,
غَلَّ,"Insert , Stick , Penetrate , Crop , Hate , Thirst , Iron Collar , Chains",link to dictionary,
غَفَلَ,"Neglect , Ignore , Heedless , Inattentive , Disregard , Surprise",link to dictionary,
غَفَرَ,"Forgive , Grant , Parson , To ask God's Forgiveness",link to dictionary,
غَلَبَ,"Conquer , Defeat , Overcome , Most Likely , Majority",link to dictionary,
غَلَقَ,"Close , Lock , Bolt , Padlock",link to dictionary,
غَلُظَ,"Rude , Treat Harshly , Thick",link to dictionary,
غَلِمَ,"Slave , Servant , Boy , Youth , Lust",link to dictionary,
غلف,"Cover , Wrap , Envelope , Case",link to dictionary,
غَوْل,"Excess , Exaggerate , High Cost , Extremist , Radical , Fanatic",link to dictionary,
غَمَضَ,"Belittle , Despise , Bleariness",link to dictionary,
غَمُرَ,"Cover , Bury , Abundant of water , Flood , Throes of death , Adventure",link to dictionary,
غَمَّ,"Distress , Cover , Conceal , Painful , Grieved , Cloud",link to dictionary,
غَمَزَ,"Signal , Slander , Wink , Weakness , Fault",link to dictionary,
غَنِمَ,"Gain Boot , Capture , Obtain , Plunder , Spoils , Loot , Sheep",link to dictionary,
غَنِيَ,"Rich , Wealthy , Able to dispense , Sing , Chant , Beautiful women , To be of no use ,",link to dictionary,
غَاثَ,"Help , Aid , Rescue",link to dictionary,
غَاثَ,"Help , Aid , Rescue",link to dictionary,
غَاصَ,"Dive , Plunge , Immerse",link to dictionary,
غَوَى,"Misguided , Mislead , Seduced , Tempt , Pitfall , Trap",link to dictionary,
غَابَ,"Absent , Hidden , Invisible , Remove , Sunset",link to dictionary,
غيث,"Send Rain , Abundant rain , Cloud ,",link to dictionary,
غير,"Jealousy , Zeal , Sense of Honor , Change , Alert , Modify",link to dictionary,
غَاضَ,"Decrease , Recede",link to dictionary,
غَاظَ,"Anger , Infuriate , Wrath , Rage",link to dictionary,
غَيْط,Field,link to dictionary,
فَتَحَ,"Open , Begin , Conquer , Victory , Introduction , Short Vowel ,",link to dictionary,
فُؤَاد,"Heart , Proper name",link to dictionary,
فْتَأَ,"Not to cease, To Refrain",link to dictionary,
فَتَرَ,"Slackness , Weakness , Short Span of time , Warm water, Laxity,",link to dictionary,
فَتَقَ,"Rupture , Hernia , Ripped Open , Bring forth",link to dictionary,
فَتَلَ,"Twisted , Turn away,",link to dictionary,
فَتَنَ,"Seduce , Entice , Charm , Fascinate , Inform against , Slanderer",link to dictionary,
فَتِىَ,"Young , Youthful , Adolescent , Legal opinion , Expounder of Islamic Law , Consult , Plebiscite , Referendum",link to dictionary,
فَجَرَ,"Cleave , Dig up , Sin , Adultery , Dawn , Daybreak , To let water flow , Explode , To overflow ,",link to dictionary,
فَجَّ,"Way , Mountain Pass , From all directions , Green , Blunt , Rude",link to dictionary,
فَحُشَ,"Obscene , Crime , Atrocity , Adultery , Excessive",link to dictionary,
فَخَرَ,"Boastful , Glory , Honor , Pride , Fired Clay , Earthenware , Pottery",link to dictionary,
فَدَى,"Redeem , Ransom , Sacrifice , Guard , Prevent , Avoid",link to dictionary,
فَذَ,"Singular , Unusual",link to dictionary,
فَرَجَ,"Open , Split , Breach , Vulva , Relief , Comfort , Pleasure",link to dictionary,
فَرَّ,"Flee , Runaway , Escape , Deserter , Fugitive",link to dictionary,
اَلْفِرْدَوْس,"Paradise , Heavenly",link to dictionary,
فَرُدَ,"Single , Alone , Unique , Word , Terms , Autocracy",link to dictionary,
فَرِحَ,"Joyful , Glad , Happy",link to dictionary,
فَرَشَ,"Spread , Cover , Furniture , Carpet , Mattress , Brush , Moth , Butterfly , Pillow , Blanket , Bed , Servant",link to dictionary,
فَرَضَ,"Decree , Ordain , Assign , Impose",link to dictionary,
فَرَطَ,"Precede , Slip , Escape , Exaggerate , Leave , Abandon , Waste , Squander ,",link to dictionary,
فَرَغَ,"Empty , Vacate , Used up , Devote , Attend , Vacant , Idle , Useless , Unload , Discharge , Pour out",link to dictionary,
فَرَقَ,"Separate , Divide , Severe , Part , Difference , Distinguish , Fearful , Band , Group , Part , Scatter , Breakup ,",link to dictionary,
فَرَىَ,"Fabricate , Lie , Slander , Split or cut length wise , Aggressor",link to dictionary,
فَزِعَ,"Fear , Frightened , Alarm",link to dictionary,
فَزَّ,"Jump up , Start , Excite , Incite",link to dictionary,
فَسُحَ,"Wide , Spacious , make room , Take a walk , Clear",link to dictionary,
فَزَّ,"Jump up , Start , Excite , Incite",link to dictionary,
فَسَقَ,"Stray , Sinful , Immoral , Unrighteous , Offender ,",link to dictionary,
فَسَدَ,"Vicious , Corrupt , Evil , Inform against , Intrigue against",link to dictionary,
فسر,"Inform , Interpret , comment",link to dictionary,
فَشَا,"Spread , Circulate , Divulge",link to dictionary,
فَشِلَ,"Despair , Fail , Unsuccessful , Undermine , thwart ,",link to dictionary,
فَصَلَ,"Separate , Detach , Segregate , Decision , Last word , Judgment , Chapter , Cass , Session , Grade",link to dictionary,
فَصُحَ,"Eloquent , Literary Language , Fluent",link to dictionary,
فَصَمَ,"Crack , Split , Destroy",link to dictionary,
فَضَحَ,"Expose , Dishonor , Eclipse , rape , Betray , shameful",link to dictionary,
فَضَّ,"Break , Snap , Pierce , Conclude , Silver",link to dictionary,
فَطَرَ,"Split , Break the fast , Breakfast , Make , Create , Natural disposition , innate character , mushroom , Pastry",link to dictionary,
فَضَا,"Space , Sky , Vast expanse , Empty , Arrive , Lead",link to dictionary,
فَضَلَ,"Surplus , Surpass , Excellent , Merit , Thanks , Remainder , Outstanding , Learnt man , Generous",link to dictionary,
فَظَ,"Crude , Rude , Blunt",link to dictionary,
فَعَلَ,"Do , Act , Perform , Function , Action , Workman , Object , Interact , Excite",link to dictionary,
فَقَدَ,"Lose , Miss , Deprived , Search , Examine , Inspect",link to dictionary,
فَقَرَ,"Pierce , Need , Poor , Vertebra , Paragraph",link to dictionary,
فَقَعَ,"To Burst, Bright Yellow",link to dictionary,
فَكَ,"Separate , Untie , Undo , Ransom , Set free , Release , Redemption , Screw driver",link to dictionary,
فَقِهَ,"Comprehend , Understanding , Knowledge , Islamic Jurisprudence , Teach , Expert",link to dictionary,
فَكُرَ,"Think , Intellect , Opinion , View , Idea , Reflect",link to dictionary,
فًلَحَ,"Cultivate , Prosperity , Welfare , Success , Salvation , Agricultural , Farmer , Lucky , Successful",link to dictionary,
فَكِهَ,"Fruit, Humor , Amuse , Joke , Have fun",link to dictionary,
فَكِهَ,"Humor , Amuse , Joke , Have fun",link to dictionary,
فَلَقَ,"Split , Tear , Asunder , Crack",link to dictionary,
فَلَكَ,"Celestial , Sphere , Star , Orbit , Astronomy , Ship , Boat",link to dictionary,
فُلَان,So and so,link to dictionary,
فَنِيَ,"Pass away , Perish , Cease , Vanish , Destruction , Annihilation , Non Existence , Ruin , Destroy , Consumed",link to dictionary,
فَنَّدَ,"Disprove , Refute , Classify , Specify",link to dictionary,
فَاتَ,"Pass away , Vanish , Past , Escape , Elude",link to dictionary,
فَهِمَ,"Understand , Comprehend , Realize , Meaning , Inquire , Ask , Question",link to dictionary,
فَوْج,"Group , Crowd , Party , Battalion ,",link to dictionary,
